NAME,QTY,AVG,TOP,BTM
Mana Thistle,1959,103476,108945,93000
Terocone,2648,198123,203000,190000
Nightmare Vine,2021,113687,114500,112999
Primal Fire,118,999130,1010000,989000
Primal Shadow,309,812480,850000,778993
Primal Mana,406,669425,700000,639999
Primal Life,832,304144,322000,289000
Primal Water,595,923565,984499,860000
