NAME,QTY,AVG,TOP,BTM
Mana Thistle,1913,146718,153000,140000
Terocone,4114,200254,207500,196665
Nightmare Vine,1619,175091,183999,170000
Primal Fire,482,748666,841000,689000
Primal Shadow,440,741151,770000,714999
Primal Mana,274,702178,718000,680000
Primal Life,1284,271299,277272,266800
Primal Water,860,708257,728900,670000
