NAME,QTY,AVG,TOP,BTM
Mana Thistle,1917,92353,102500,84000
Terocone,635,207347,210000,203999
Nightmare Vine,745,154563,159900,142500
Primal Fire,267,935972,1010000,900000
Primal Shadow,711,804570,839998,778000
Primal Mana,298,661998,661998,661998
Primal Life,761,292201,299500,288000
Primal Water,568,825706,918999,755000
