NAME,QTY,AVG,TOP,BTM
Mana Thistle,1214,173152,199500,145999
Terocone,633,211587,215025,207500
Nightmare Vine,1508,177376,183999,172500
Primal Fire,464,774015,841000,700000
Primal Shadow,81,682890,696100,669900
Primal Mana,373,704008,728997,689699
Primal Life,816,316821,470000,230000
Primal Water,137,993188,998999,979000
