NAME,QTY,AVG,TOP,BTM
Mana Thistle,1363,154392,156000,151500
Terocone,2406,213896,230000,205000
Nightmare Vine,1839,176427,180000,171999
Primal Fire,324,776844,841000,733000
Primal Shadow,146,679006,682000,674999
Primal Mana,259,676418,749999,647000
Primal Life,1442,313378,369000,282300
Primal Water,42,664900,664900,664900
