NAME,QTY,AVG,TOP,BTM
Mana Thistle,1268,154311,155499,150500
Terocone,3196,209180,230000,199500
Nightmare Vine,2208,173220,177496,170000
Primal Fire,466,762907,841000,670000
Primal Shadow,28,679821,680000,678999
Primal Mana,299,670307,690000,655000
Primal Life,2742,269055,315000,220000
Primal Water,362,728863,729999,726900
