NAME,QTY,AVG,TOP,BTM
Mana Thistle,1973,92364,102500,85000
Terocone,1178,203269,210000,198500
Nightmare Vine,420,113499,113499,113498
Primal Fire,243,931389,1050000,880000
Primal Shadow,729,804313,839998,779000
Primal Mana,298,661998,661998,661998
Primal Life,630,292531,307000,279998
Primal Water,596,822515,918999,756000
