NAME,QTY,AVG,TOP,BTM
Mana Thistle,1202,89065,90499,87000
Terocone,3102,195706,195899,194995
Nightmare Vine,1983,113469,118000,109999
Primal Fire,235,894055,923500,830000
Primal Shadow,328,806541,829997,739900
Primal Mana,718,665233,735625,632600
Primal Life,1033,349616,369599,340000
Primal Water,405,820014,868999,789990
