NAME,QTY,AVG,TOP,BTM
Mana Thistle,1082,88154,92498,83274
Terocone,1403,197531,206500,191000
Nightmare Vine,2709,119377,143500,108500
Primal Fire,155,900407,970000,868500
Primal Shadow,858,772899,849899,725000
Primal Mana,468,646052,652997,641898
Primal Life,185,372812,399000,357000
Primal Water,274,755035,848000,725900
