NAME,QTY,AVG,TOP,BTM
Mana Thistle,1354,154349,155499,151500
Terocone,3622,209543,230000,199500
Nightmare Vine,1223,175587,180000,173500
Primal Fire,457,764832,841000,702000
Primal Shadow,146,679006,682000,674999
Primal Mana,464,516486,749999,0
Primal Life,2118,276415,350000,257989
Primal Water,110,664206,664900,663000
