NAME,QTY,AVG,TOP,BTM
Mana Thistle,1190,154855,157000,153399
Terocone,3943,216796,230000,209000
Nightmare Vine,2054,178767,187500,172500
Primal Fire,646,760255,841000,689999
Primal Shadow,274,683977,699999,668000
Primal Mana,490,656432,699996,600000
Primal Life,1900,292686,350000,273999
Primal Water,661,622433,622999,621000
