NAME,QTY,AVG,TOP,BTM
Mana Thistle,719,165167,181500,158000
Terocone,1776,204921,213000,201000
Nightmare Vine,2747,185173,197298,175000
Primal Fire,354,757954,826000,677500
Primal Shadow,262,680938,700000,650000
Primal Mana,215,688653,690000,685000
Primal Life,1295,350737,369000,319999
Primal Water,820,635552,675000,617000
