NAME,QTY,AVG,TOP,BTM
Mana Thistle,2041,96043,114500,90000
Terocone,2849,200258,203000,196500
Nightmare Vine,2508,110926,114500,108000
Primal Fire,455,855710,879999,830000
Primal Shadow,484,818545,850000,777599
Primal Mana,854,684619,700000,659000
Primal Life,1079,321441,340000,289000
Primal Water,406,873094,984499,690000
