NAME,QTY,AVG,TOP,BTM
Mana Thistle,1039,108572,108945,107999
Terocone,3014,199733,203000,194000
Nightmare Vine,2719,109754,116000,105000
Primal Fire,215,890061,920000,854989
Primal Shadow,383,816558,850000,758999
Primal Mana,877,669543,700000,630000
Primal Life,913,327214,350000,316999
Primal Water,545,932289,984499,868000
