NAME,QTY,AVG,TOP,BTM
Mana Thistle,3714,101259,116000,86772
Terocone,2229,206874,218000,195999
Nightmare Vine,4660,112093,120000,104500
Primal Fire,387,856806,880000,819899
Primal Shadow,537,837615,895000,796666
Primal Mana,412,684220,700749,650000
Primal Life,1653,310950,334000,280000
Primal Water,219,686820,700000,667000
