NAME,QTY,AVG,TOP,BTM
Mana Thistle,945,148418,150499,142500
Terocone,1901,201734,213333,198500
Nightmare Vine,787,176879,183999,172250
Primal Fire,496,753895,841000,706994
Primal Shadow,175,718020,720000,715000
Primal Mana,514,676450,728997,620000
Primal Life,129,468450,470000,466000
Primal Water,508,714751,728900,685000
