NAME,QTY,AVG,TOP,BTM
Mana Thistle,1961,151687,155499,145999
Terocone,3193,207978,227500,200000
Nightmare Vine,1108,175945,183999,171499
Primal Fire,377,773107,841000,720000
Primal Shadow,230,744442,750000,724999
Primal Mana,369,701762,718000,685000
Primal Life,1010,286029,314000,267000
Primal Water,396,727458,728900,722799
