NAME,QTY,AVG,TOP,BTM
Mana Thistle,1172,87421,99500,80489
Terocone,1422,198840,210499,192500
Nightmare Vine,2557,129532,158500,116499
Primal Fire,139,916023,918999,914000
Primal Shadow,304,766837,800000,719999
Primal Mana,386,651216,684999,620000
Primal Life,1613,371606,399000,336000
Primal Water,218,867517,870000,866800
