NAME,QTY,AVG,TOP,BTM
Mana Thistle,511,146750,147500,144500
Terocone,1801,205591,215025,195000
Nightmare Vine,1059,173034,179995,170000
Primal Fire,475,745671,841000,675000
Primal Shadow,315,715249,735000,703900
Primal Mana,466,660402,705300,639999
Primal Life,818,408007,500000,322999
Primal Water,441,713901,728900,684000
