NAME,QTY,AVG,TOP,BTM
Mana Thistle,786,162656,181500,154000
Terocone,856,203313,207000,199000
Nightmare Vine,1730,180858,189500,171428
Primal Fire,368,779168,841000,737000
Primal Shadow,202,679975,680000,679500
Primal Mana,304,686221,690000,677700
Primal Life,1922,339494,369000,295997
Primal Water,954,624337,630000,619999
