NAME,QTY,AVG,TOP,BTM
Mana Thistle,1518,154259,156000,151500
Terocone,3041,213254,230000,204000
Nightmare Vine,1846,178358,180000,174999
Primal Fire,552,758333,841000,680000
Primal Shadow,280,678825,682000,675000
Primal Mana,246,689423,690000,688900
Primal Life,1416,291358,350000,279000
Primal Water,291,633821,667000,610000
