NAME,QTY,AVG,TOP,BTM
Mana Thistle,1313,155099,157500,153399
Terocone,2947,217068,240000,198888
Nightmare Vine,2170,178139,187500,170000
Primal Fire,545,766375,841000,698999
Primal Shadow,100,679252,699999,667000
Primal Mana,415,666499,699996,630000
Primal Life,1968,327175,369000,287000
Primal Water,815,622709,627000,619000
