NAME,QTY,AVG,TOP,BTM
Mana Thistle,2495,96336,108944,86363
Terocone,2638,198932,205000,195020
Nightmare Vine,1952,111461,113990,105500
Primal Fire,390,930336,1050000,850000
Primal Shadow,251,775959,850000,720000
Primal Mana,534,654032,690000,614000
Primal Life,1141,291473,316000,275000
Primal Water,651,883236,983000,809999
