NAME,QTY,AVG,TOP,BTM
Mana Thistle,1278,153866,159000,149500
Terocone,2830,208868,227500,189250
Nightmare Vine,889,176408,184000,173333
Primal Fire,540,754571,841000,700000
Primal Shadow,240,729215,750000,703000
Primal Mana,295,725806,729999,709000
Primal Life,1279,290101,315000,275998
Primal Water,771,711750,750000,649999
