NAME,QTY,AVG,TOP,BTM
Mana Thistle,900,154900,154900,154900
Terocone,3659,213151,240000,199500
Nightmare Vine,2892,177049,189500,172000
Primal Fire,654,753823,841000,690000
Primal Shadow,323,682471,700000,671796
Primal Mana,419,664581,699996,639999
Primal Life,2037,309708,369000,286999
Primal Water,502,621998,622000,621996
